name,wxt_ra,wxt_dec,fxt_ra,fxt_dec,z,GRB_name,GRB,GBM_cover,gamma_flux_peak,gamma_flux_peak_err_minus,gamma_flux_peak_err_plus,gamma_upperlimit,det_cover,gamma_source,SN_name,T0,T100,lc_complete_strict,lc_complete_general,auto_obs,Td100,Td90,Td90_err_minus,Td90_err_plus,Td50,Td50_err_minus,Td50_err_plus,nH_Galactic,nH_Intrinsic,nH_Intrinsic_err_minus,nH_Intrinsic_err_plus,PhoIndex_avg,PhoIndex_avg_err_minus,PhoIndex_avg_err_plus,flux_avg,flux_avg_err_minus,flux_avg_err_plus,peak_time_start_seconds_to_T0,peak_time_end_seconds_to_T0,peak_spec_time_start_seconds_to_T0,peak_spec_time_end_seconds_to_T0,PhoIndex_peak,PhoIndex_peak_err_minus,PhoIndex_peak_err_plus,flux_peak,flux_peak_err,fluence,fluence_err_minus,fluence_err_plus,luminosity_avg,luminosity_avg_err_minus,luminosity_avg_err_plus,luminosity_peak,luminosity_peak_err,Eiso_rest,Eiso_rest_err_minus,Eiso_rest_err_plus,cstat,dof,BIC,input_row,fxt_position_available,optical_counterpart_identified,optical_name,optical_ra_deg,optical_dec_deg,ra_deg,dec_deg,coordinate_source,search_radius_arcsec,status,candidate_count,nearest_name,nearest_ra_deg,nearest_dec_deg,nearest_z,nearest_sep_arcsec,aladin_path,aladin_notebook_path,cat_table_path,error
EP240202a,77.571,2.362,0.0,0.0,0.0,GRB 240202A,1,0,1.67e-07,3.78e-08,3.72e-08,0.0,KW,KW,-,2024-02-02T21:22:12.650,2024-02-02T21:34:57.450,0,0,0,764.8,560.353,215.444,24.494,135.465,14.076,30.992,0.117,0.0431,0.0,2.6464,1.495,0.23,0.338,1.9341e-10,3.6806e-11,2.7664e-11,80.479,81.979,16.979,145.479,1.406,0.317,0.361,2.8348e-09,2.0976e-09,1.4792e-07,2.815e-08,2.1157e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2979868295419,34,54.4650247064541,2,False,False,,,,77.571,2.362,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240202a/aladin.html,examples/WXT_results_summary_data/EP240202a/aladin.ipynb,examples/WXT_results_summary_data/EP240202a/cat_table.csv,
EP240219a,80.031,25.533,0.0,0.0,0.0,GRB 240219A,1,1,7.12475965364209e-08,1.3585272296757e-08,1.33235269082335e-08,0.0,GBM,GBM,-,2024-02-19T06:21:44.150,2024-02-19T06:29:14.100,1,1,0,449.95,233.474,39.496,85.99,66.993,9.999,11.499,0.466,8.5136,2.978,4.4902,2.021,0.351,0.482,1.8011e-09,2.9509e-10,6.2792e-10,11.499,12.499,0.0,31.999,1.263,0.378,0.415,3.0153e-08,1.4342e-08,8.104e-07,1.3277e-07,2.8253e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1738278427736,63,56.7427920688529,3,False,False,,,,80.031,25.533,wxt_ra/wxt_dec,190.0,success,1,PS J051958.18+253323.9,79.992416,25.556625,0.0543168,151.45864340314884,examples/WXT_results_summary_data/EP240219a/aladin.html,examples/WXT_results_summary_data/EP240219a/aladin.ipynb,examples/WXT_results_summary_data/EP240219a/cat_table.csv,
EP240315a,141.639,-9.541,141.647,-9.5338,4.859,GRB 240315C,1,0,4.37e-07,5.75e-08,5.75e-08,0.0,KW,KW,-,2024-03-15T20:07:23.550,2024-03-15T20:41:30.650,1,1,0,2047.1,1040.051,24.001,84.584,397.019,18.001,12.001,0.0458,5.7321,2.3913,5.2934,1.452,0.117,0.215,5.2398e-10,2.8633e-11,4.6914e-11,607.53,608.03,594.03,621.53,0.605,0.317,0.286,2.687e-08,1.4437e-08,1.0726e-06,5.8614e-08,9.6037e-08,1.3327e+50,7.282500000000001e+48,1.1931999999999998e+49,6.834200000000001e+51,3.672e+51,1.2216999999999999e+53,3.7153e+52,3.2301000000000003e+52,120.311619519527,145,135.303256340819,4,True,False,,,,141.647,-9.5338,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240315a/aladin.html,examples/WXT_results_summary_data/EP240315a/aladin.ipynb,examples/WXT_results_summary_data/EP240315a/cat_table.csv,
EP240316a,171.672,-7.257,0.0,0.0,0.0,-,0,1,0.0,0.0,0.0,1.01914225383416e-08,"KW,GBM",GBM,-,2024-03-16T14:10:45.150,2024-03-16T14:13:23.550,1,1,0,158.4,111.43,4.497,15.49,58.963,11.493,12.492,0.0374,5.2483,1.7921,2.9208,2.526,0.435,0.767,1.2313e-09,2.1326e-10,5.8328e-10,56.964,57.464,20.964,93.464,2.778,0.384,0.468,1.0719e-08,7.7683e-09,1.9504e-07,3.3781e-08,9.2391e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.400464012741,32,35.0665081972092,5,False,False,,,,171.672,-7.257,wxt_ra/wxt_dec,190.0,success,1,DESI J112645.58-071319.6,171.689926,-7.222114,0.0244251,140.9652333188597,examples/WXT_results_summary_data/EP240316a/aladin.html,examples/WXT_results_summary_data/EP240316a/aladin.ipynb,examples/WXT_results_summary_data/EP240316a/cat_table.csv,
EP240331a,169.678,-20.128,169.6608,-20.1378,0.0,-,0,0,0.0,0.0,0.0,1.06980164361921e-07,KW,KW,-,2024-03-31T22:07:17.850,2024-03-31T22:08:51.850,1,1,0,94.0,53.0,4.5,7.5,21.5,3.0,6.5,0.0409,8.0373,2.0417,4.5822,1.551,0.322,0.647,2.9102e-09,3.5501e-10,9.9434e-10,48.0,48.5,34.5,62.0,2.056,0.343,0.424,1.9739e-08,1.2079e-08,2.7356e-07,3.3371e-08,9.3468e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9164487926102,32,38.5824929770784,6,True,False,,,,169.6608,-20.1378,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240331a/aladin.html,examples/WXT_results_summary_data/EP240331a/aladin.ipynb,examples/WXT_results_summary_data/EP240331a/cat_table.csv,
EP240413a,228.813,-18.501,228.8164,-18.5051,0.0,-,0,1,0.0,0.0,0.0,1.18587402686044e-08,"KW,GBM",GBM,-,2024-04-13T14:39:44.600,2024-04-13T14:46:15.350,1,1,0,390.75,206.368,39.475,75.951,36.976,3.997,16.489,0.115,1.2461,0.5494,1.759,1.679,0.176,0.437,7.5216e-10,5.1039e-11,1.3356e-10,63.459,63.959,55.959,71.459,1.172,0.346,0.32,1.8778e-08,1.0113e-08,2.9391e-07,1.9943e-08,5.219e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8543673175663,63,56.4233315436456,7,True,False,,,,228.8164,-18.5051,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240413a/aladin.html,examples/WXT_results_summary_data/EP240413a/aladin.ipynb,examples/WXT_results_summary_data/EP240413a/cat_table.csv,
EP240414a,191.51,-9.716,191.5077,-9.7182,0.4007,-,0,0,0.0,0.0,0.0,1.6368549738436e-07,KW,KW,AT 2024gsa,2024-04-14T09:49:13.450,2024-04-14T09:57:55.750,1,1,0,522.3,411.342,88.466,37.985,52.98,5.998,26.99,0.0334,0.4834,0.1899,0.2902,2.32,0.354,0.586,4.2303e-10,5.5615e-11,1.2482e-10,23.991,24.491,0.0,49.491,2.646,0.377,0.448,7.833e-09,5.7014e-09,2.2095e-07,2.9048e-08,6.5194e-08,2.5505e+47,3.3532e+46,7.525800000000001e+46,4.7228000000000007e+48,3.4375e+48,8.592e+49,1.8573999999999998e+49,2.565e+49,40.6072090786275,46,52.2826699729594,8,True,True,AT 2024gsa,191.50695417,-9.71913333,191.50695417,-9.71913333,optical_counterpart,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240414a/aladin.html,examples/WXT_results_summary_data/EP240414a/aladin.ipynb,examples/WXT_results_summary_data/EP240414a/cat_table.csv,
EP240416a,203.142,-13.619,203.142,-13.6311,0.0,-,0,0,0.0,0.0,0.0,1.18671985603661e-07,KW,KW,-,2024-04-16T02:42:09.050,2024-04-16T02:45:09.950,0,0,0,180.9,171.905,14.492,1.499,83.454,19.489,9.495,0.0513,2.2604,0.9979,2.7499,2.966,0.374,1.028,6.3633e-10,8.715e-11,4.2823e-10,109.44,110.439,63.439,156.439,3.035,0.425,0.481,3.4489e-09,2.5084e-09,1.1511e-07,1.5766e-08,7.7467e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6144307411197,30,36.1039534255191,9,True,False,,,,203.142,-13.6311,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240416a/aladin.html,examples/WXT_results_summary_data/EP240416a/aladin.ipynb,examples/WXT_results_summary_data/EP240416a/cat_table.csv,
EP240417a,177.44,-15.428,0.0,0.0,0.0,-,0,1,0.0,0.0,0.0,1.28135202300462e-08,"KW,GBM",GBM,-,2024-04-17T15:12:48.650,2024-04-17T15:33:46.750,1,1,0,1258.1,1046.083,48.504,96.508,634.55,88.507,53.004,0.0337,0.0081,0.0,2.3749,1.337,0.241,0.303,1.1036e-10,2.0878e-11,1.868e-11,53.004,63.505,0.0,316.505,1.386,0.338,0.43,4.0009e-10,2.6209e-10,1.3884e-07,2.6267e-08,2.3501e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2477571611785,48,58.0718031720348,10,False,False,,,,177.44,-15.428,wxt_ra/wxt_dec,190.0,success,1,WISE J114946.50-152429.3,177.443756,-15.408153,0.055393,72.62849890861396,examples/WXT_results_summary_data/EP240417a/aladin.html,examples/WXT_results_summary_data/EP240417a/aladin.ipynb,examples/WXT_results_summary_data/EP240417a/cat_table.csv,
EP240420a,228.737,14.802,228.7304,14.8042,0.0,-,0,0,0.0,0.0,0.0,8.7104068250963e-08,KW,KW,-,2024-04-20T12:04:01.950,2024-04-20T12:05:28.050,1,1,0,86.1,62.072,3.504,2.002,23.027,1.502,5.006,0.025,2.3784,0.9476,1.7673,1.441,0.223,0.382,3.9146e-09,3.6818e-10,6.0341e-10,32.037,32.538,27.037,37.538,1.62,0.335,0.354,2.1931e-08,1.0691e-08,3.3704e-07,3.17e-08,5.1953e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9422543947641,62,69.465416204451,11,True,False,,,,228.7304,14.8042,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240420a/aladin.html,examples/WXT_results_summary_data/EP240420a/aladin.ipynb,examples/WXT_results_summary_data/EP240420a/cat_table.csv,
EP240426b,173.772,-40.74,0.0,0.0,0.0,-,0,1,0.0,0.0,0.0,9.477927435225571e-09,GBM,GBM,-,2024-04-26T14:18:59.550,2024-04-26T14:24:46.400,1,1,0,346.85,260.887,36.484,51.978,104.955,22.49,9.496,0.11,2.8358,1.196,4.0711,2.388,0.388,1.166,4.3679e-10,5.8964e-11,3.0879e-10,133.942,138.94,43.442,229.44,2.546,0.372,0.505,1.8364e-09,1.1085e-09,1.515e-07,2.0452e-08,1.071e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4743702706016,24,35.3618808686146,12,False,False,,,,173.772,-40.74,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240426b/aladin.html,examples/WXT_results_summary_data/EP240426b/aladin.ipynb,examples/WXT_results_summary_data/EP240426b/cat_table.csv,
